numerai_ticker,iex_ticker
DELTA TB,DELTA-TB
BTS TB,BTS-TB
EA TB,EA-TB
AWC TB,AWC-TB
STGT TB,STGT-TB
IVL TB,IVL-TB
ECN CN,ECN-CT
BIP-U CN,BIP.UN-CT
OGC CN,OGC-CT
AEM CN,AEM-CT
ACO/X CN,ACO.X-CT
ABX CN,ABX-CT
BCE CN,BCE-CT
BAM/A CN,BAM.A-CT
T CN,T-CT
MFI CN,MFI-CT
CNR CN,CNR-CT
CP CN,CP-CT
CTC/A CN,CTC.A-CT
RUS CN,RUS-CT
FTT CN,FTT-CT
IMO CN,IMO-CT
ENB CN,ENB-CT
L CN,L-CT
MG CN,MG-CT
K CN,K-CT
POW CN,POW-CT
QBR/B CN,QBR.B-CT
RCI/B CN,RCI.B-CT
TECK/B CN,TECK.B-CT
TRP CN,TRP-CT
WN CN,WN-CT
SOY CN,SOY-CT
MX CN,MX-CT
CFP CN,CFP-CT
CCL/B CN,CCL.B-CT
EMP/A CN,EMP.A-CT
ONEX CN,ONEX-CT
WFG CN,WFG-CT
IGM CN,IGM-CT
SNC CN,SNC-CT
SJR/B CN,SJR.B-CT
FTS CN,FTS-CT
TA CN,TA-CT
CU CN,CU-CT
X CN,X-CT
TIH CN,TIH-CT
IFP CN,IFP-CT
PKI CN,PKI-CT
CNQ CN,CNQ-CT
SU CN,SU-CT
TCL/A CN,TCL.A-CT
BMO CN,BMO-CT
CM CN,CM-CT
BNS CN,BNS-CT
NA CN,NA-CT
RY CN,RY-CT
TRI CN,TRI-CT
TD CN,TD-CT
IVN CN,IVN-CT
FFH CN,FFH-CT
GWO CN,GWO-CT
LB CN,LB-CT
NTR CN,NTR-CT
NXE CN,NXE-CT
EQX CN,EQX-CT
RNW CN,RNW-CT
ARE CN,ARE-CT
DPM CN,DPM-CT
WEED CN,WEED-CT
ERF CN,ERF-CT
OSK CN,OSK-CT
CWB CN,CWB-CT
HCG CN,HCG-CT
LNR CN,LNR-CT
PAAS CN,PAAS-CT
PSK CN,PSK-CT
KXS CN,KXS-CT
WPK CN,WPK-CT
OGI CN,OGI-CT
GIB/A CN,GIB.A-CT
MRU CN,MRU-CT
CRON CN,CRON-CT
SHOP CN,SHOP-CT
NWC CN,NWC-CT
FSV CN,FSV-CT
CCO CN,CCO-CT
ITP CN,ITP-CT
H CN,H-CT
ZZZ CN,ZZZ-CT
TOY CN,TOY-CT
EMA CN,EMA-CT
SIL CN,SIL-CT
ELD CN,ELD-CT
SSRM CN,SSRM-CT
TXG CN,TXG-CT
CIGI CN,CIGI-CT
CCA CN,CCA-CT
RCH CN,RCH-CT
BLDP CN,BLDP-CT
GSY CN,GSY-CT
BHC CN,BHC-CT
STN CN,STN-CT
VET CN,VET-CT
CIX CN,CIX-CT
SJ CN,SJ-CT
GOOS CN,GOOS-CT
MTL CN,MTL-CT
REAL CN,REAL-CT
YRI CN,YRI-CT
JWEL CN,JWEL-CT
ERO CN,ERO-CT
LSPD CN,LSPD-CT
GFL CN,GFL-CT
OTEX CN,OTEX-CT
IMG CN,IMG-CT
TRQ CN,TRQ-CT
ENGH CN,ENGH-CT
PBH CN,PBH-CT
LIF CN,LIF-CT
NPI CN,NPI-CT
ATD/B CN,ATD.B-CT
DML CN,DML-CT
MRE CN,MRE-CT
RBA CN,RBA-CT
SAP CN,SAP-CT
SPB CN,SPB-CT
BB CN,BB-CT
IPL CN,IPL-CT
DSG CN,DSG-CT
WTE CN,WTE-CT
ARX CN,ARX-CT
BDGI CN,BDGI-CT
BLX CN,BLX-CT
KL CN,KL-CT
WPM CN,WPM-CT
NGD CN,NGD-CT
SEA CN,SEA-CT
FM CN,FM-CT
FVI CN,FVI-CT
EDR CN,EDR-CT
OR CN,OR-CT
HBM CN,HBM-CT
LUN CN,LUN-CT
SVM CN,SVM-CT
FR CN,FR-CT
WPRT CN,WPRT-CT
WCN CN,WCN-CT
GIL CN,GIL-CT
CLS CN,CLS-CT
AQN CN,AQN-CT
ALA CN,ALA-CT
CJR/B CN,CJR.B-CT
AGI CN,AGI-CT
MFC CN,MFC-CT
BYD CN,BYD-CT
CS CN,CS-CT
WDO CN,WDO-CT
IAG CN,IAG-CT
PPL CN,PPL-CT
SLF CN,SLF-CT
MAG CN,MAG-CT
BEP-U CN,BEP.UN-CT
CPG CN,CPG-CT
TFII CN,TFII-CT
EIF CN,EIF-CT
KEY CN,KEY-CT
INE CN,INE-CT
VFF CN,VFF-CT
CG CN,CG-CT
IFC CN,IFC-CT
DOO CN,DOO-CT
AIF CN,AIF-CT
CJT CN,CJT-CT
AC CN,AC-CT
QSR CN,QSR-CT
NFI CN,NFI-CT
CSU CN,CSU-CT
SSL CN,SSL-CT
FNV CN,FNV-CT
BTO CN,BTO-CT
SII CN,SII-CT
LAC CN,LAC-CT
CPX CN,CPX-CT
DOL CN,DOL-CT
CVE CN,CVE-CT
PXT CN,PXT-CT
SIA CN,SIA-CT
TCN CN,TCN-CT
WCP CN,WCP-CT
MEG CN,MEG-CT
TOU CN,TOU-CT
PVG CN,PVG-CT
ATZ CN,ATZ-CT
GEI CN,GEI-CT
WSP CN,WSP-CT
MONET CP,MONET-CK
KOMB CP,KOMB-CK
CEZ CP,CEZ-CK
ALPHA GA,ALPHA-GA
LAMDA GA,LAMDA-GA
BELA GA,BELA-GA
OPAP GA,OPAP-GA
HTO GA,HTO-GA
MYTIL GA,MYTIL-GA
TENERGY GA,TENERGY-GA
OTP HB,OTP-HB
RICHT HB,
MOL HB,MOL-HB
PZU PW,PZU-PW
CDR PW,CDR-PW
TPE PW,TPE-PW
KRU PW,KRU-PW
JSW PW,JSW-PW
PKO PW,PKO-PW
